unity_time;FPS
71.300;205.03
71.400;187.92
71.500;189.98
71.600;193.14
71.700;195.18
71.800;200.35
71.900;192.23
72.000;186.43
72.100;208.18
72.200;200.23
72.300;195.14
72.400;195.87
72.500;195.41
72.600;201.09
72.700;197.53
72.800;203.15
72.900;190.28
73.000;196.25
73.100;189.59
73.200;192.57
73.300;189.37
73.400;190.11
73.500;196.19
73.600;197.33
73.700;198.64
73.800;193.62
73.900;193.81
74.000;195.18
74.100;194.25
74.200;200.39
74.300;189.51
74.400;196.87
74.500;196.62
74.600;197.49
74.700;186.43
74.800;197.29
74.900;198.13
75.000;196.85
75.100;196.63
75.200;192.04
75.300;186.91
75.400;181.40
75.500;180.67
75.600;186.46
75.700;186.35
75.800;180.19
75.900;186.05
76.000;192.44
76.100;185.42
76.200;194.67
76.300;186.72
76.400;188.07
76.500;185.62
76.600;186.97
76.700;183.60
76.800;183.18
76.900;184.40
77.000;186.79
77.100;189.58
77.200;194.11
77.300;194.21
77.400;195.64
77.500;186.70
77.600;191.29
77.700;186.30
77.800;199.21
77.900;197.55
78.000;185.45
78.100;191.90
78.200;195.22
78.300;192.17
78.400;186.11
78.500;191.42
78.600;187.98
78.700;186.58
78.800;188.59
78.900;185.15
79.000;188.09
79.100;164.15
79.200;185.13
79.300;192.65
79.400;190.75
79.500;194.42
79.600;197.64
79.700;186.83
79.800;193.35
79.900;196.78
80.000;198.36
80.100;193.31
80.200;188.67
80.300;193.69
80.400;196.77
80.500;194.72
80.600;188.55
80.700;193.77
80.800;186.72
80.900;191.69
81.000;191.48
81.100;192.98
81.200;187.16
81.300;188.52
81.400;196.32
81.500;185.81
81.600;189.25
81.700;187.72
81.800;192.72
81.900;194.80
82.000;179.00
82.100;173.63
82.200;174.49
82.300;170.98
82.400;176.93
82.500;172.81
82.600;169.39
82.700;171.30
82.800;169.94
82.900;170.81
83.000;177.73
83.100;182.34
83.200;180.59
83.300;175.67
83.400;181.13
83.500;175.71
83.600;177.32
83.700;173.82
83.800;168.74
83.900;170.38
84.000;168.46
84.100;184.83
84.200;177.31
84.300;176.50
84.400;177.59
84.500;170.19
84.600;167.64
84.700;170.41
84.800;174.80
84.900;170.70
85.000;171.78
85.100;173.27
85.200;175.97
85.300;178.07
85.400;178.92
85.500;178.66
85.600;173.22
85.700;182.70
85.800;170.21
85.900;174.70
86.000;168.44
86.100;175.97
86.200;170.68
86.300;169.86
86.400;173.09
86.500;175.95
86.600;170.09
86.700;171.21
86.800;165.55
86.900;177.44
87.000;174.39
87.100;173.71
87.200;177.62
87.300;180.89
87.400;181.47
87.500;180.26
87.600;176.83
87.700;177.21
87.800;178.81
87.900;181.29
88.000;172.56
88.100;183.81
88.200;179.32
88.300;183.44
88.400;190.44
88.500;209.58
88.600;202.66
88.700;198.74
88.800;200.06
88.900;208.15
89.000;197.22
89.100;203.65
89.200;173.12
89.300;194.60
89.400;197.19
89.500;203.39
89.600;195.80
89.700;202.59
89.800;205.66
89.900;198.43
90.000;193.30
90.100;207.97
90.200;199.96
90.300;199.78
90.400;210.27
90.500;203.30
90.600;205.22
90.700;210.07
90.800;206.74
90.900;198.61
91.000;202.52
91.100;204.18
91.200;203.29
91.300;201.25
91.400;208.21
91.500;205.17
91.600;206.73
91.700;199.46
91.800;202.51
91.900;204.51
92.000;199.60
92.100;203.18
92.200;199.59
92.300;207.58
92.400;198.61
92.500;196.82
92.600;202.60
92.700;197.42
92.800;195.84
92.900;194.49
93.000;193.70
93.100;202.14
93.200;192.42
93.300;197.21
93.400;202.37
93.500;196.39
93.600;195.00
93.700;194.73
93.800;193.76
93.900;198.51
94.000;196.11
94.100;204.73
94.200;195.75
94.300;199.25
94.400;205.63
94.500;195.94
94.600;197.60
94.700;197.59
94.800;196.52
94.900;216.49
95.000;195.53
95.100;199.38
95.200;195.63
95.300;202.52
95.400;207.80
95.500;204.16
95.600;197.82
95.700;202.02
95.800;198.27
95.900;214.29
96.000;193.07
96.100;216.12
96.200;199.62
96.300;199.13
96.400;195.61
96.500;195.43
96.600;199.10
96.700;203.54
96.800;200.61
96.900;198.45
97.000;198.48
97.100;201.22
97.200;201.84
97.300;214.01
97.400;203.11
97.500;205.94
97.600;207.77
97.700;206.18
97.800;201.88
97.900;200.61
98.000;204.73
98.100;201.99
98.200;214.05
98.300;201.43
98.400;182.02
98.500;192.34
98.600;189.31
98.700;194.28
98.800;197.80
98.900;194.09
99.000;191.75
99.100;199.25
99.200;196.75
99.300;176.98
99.400;191.30
99.500;205.89
99.600;197.03
99.700;201.78
99.800;199.98
99.900;193.10
100.000;191.85
100.100;199.95
100.200;195.28
